,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
567,100,299208212461667167524820228738276132565,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3326.056878654924,3835.34187584323,-3310.743660219035
968,100,116097160640140001460589637490414212513,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3326.056878654924,3876.2133444776805,-3342.545591337439
1165,100,225571422649017567702729601564731523358,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3326.056878654924,3851.915333360173,-3327.6511194373616
1838,100,278399841908703361276780928350735527794,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3326.056878654924,3909.2312759249517,-3306.9117102513064
2261,100,127933119252962776003246307671583250676,0.00023820867079561695,,L2_3_IT,3868.231541965575,-3326.056878654924,3868.4558802218407,-3342.432312029477
551,101,132981648655072408162545066763503520565,0.00023820867079561695,,L4_5_IT,3958.730506776065,-3326.056878654924,3974.9239176619767,-3283.80419706165
1941,101,90280107426579611144250834141528828881,0.00023820867079561695,,L6b,3958.730506776065,-3326.056878654924,3970.897755870358,-3336.4039199340004
575,101,33166114168583182681174519809116681527,0.00023820867079561695,,L6_IT,3958.730506776065,-3326.056878654924,3958.810847024299,-3342.5963880698564
753,101,7170742652756561642694696003669506753,0.00023820867079561695,,L4_5_IT,3958.730506776065,-3326.056878654924,3939.7337835790836,-3334.134290764935
863,101,35713134404527003130219799452616898640,0.00023820867079561695,,L4_5_IT,3958.730506776065,-3326.056878654924,3949.28622974461,-3333.3455974441636
1931,102,124232951662982208680814357459370963705,0.00023820867079561695,,Lamp5,4049.2294715865546,-3326.056878654924,4051.2594275571632,-3303.0077674086288
2533,102,326797128327419538492114812253511441375,0.00023820867079561695,,Lamp5,4049.2294715865546,-3326.056878654924,4010.7641204621636,-3326.3497307463545
1064,102,76879498597286780847218416558819915748,0.00023820867079561695,,L5_6_NP,4049.2294715865546,-3326.056878654924,4036.471260321422,-3338.920730533945
2152,102,62968170056325147305963230427382873349,0.00023820867079561695,,Oligo,4049.2294715865546,-3326.056878654924,4085.1875148796903,-3353.525675142421
4042,102,308903571677510544246112853210892867198,0.00019101638695874862,,Lamp5,4049.2294715865546,-3326.056878654924,4062.465034712338,-3308.48048944327
2428,103,280799531065188165564913114718390399883,0.00023820867079561695,,L5_ET,4139.728436397044,-3326.056878654924,4123.062303440019,-3304.996614283629
3183,103,190488554161497701019188903422175044566,0.00023820867079561695,,L6_CT,4139.728436397044,-3326.056878654924,4150.986478042236,-3359.0442258933626
268,103,53102869902203284919209444725957205964,0.00023820867079561695,,OPC,4139.728436397044,-3326.056878654924,4122.753298540555,-3284.1121489180937
2026,103,117368163771522761170733739457521215401,0.00023820867079561695,,OPC,4139.728436397044,-3326.056878654924,4152.99523351989,-3322.998072447137
186,103,266862022451937249509589172754193405261,0.00023820867079561695,,VLMC,4139.728436397044,-3326.056878654924,4148.844868442516,-3359.1333317324024
3289,104,214002853650723325809852089767045093440,0.00023820867079561695,,Sncg,4230.227401207534,-3326.056878654924,4242.602059763814,-3304.8280179902754
43,104,332208464942581156577778916408272794893,0.00023820867079561695,,Sst,4230.227401207534,-3326.056878654924,4229.294874647661,-3293.5684542884583
220,104,211576623229344465767888225531869419422,0.00023820867079561695,,Vip,4230.227401207534,-3326.056878654924,4263.5471289883,-3310.1196287306648
610,104,48934629902193695309650854816127258132,0.00023820867079561695,,Endo,4230.227401207534,-3326.056878654924,4212.117183836241,-3359.143591484672
730,104,317534203769435172772759844149231721682,0.00023820867079561695,,Vip,4230.227401207534,-3326.056878654924,4203.575758801654,-3362.6247007805528
597,105,321770350211376037913432385851114861773,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3326.056878654924,4284.967608885173,-3353.7846074882846
952,105,303490383180667065330166394480332568507,0.00023820867079561695,,L4_5_IT,4320.726366018023,-3326.056878654924,4316.644715837397,-3306.930872423881
314,105,312577103238715024230892866171153819411,0.00023820867079561695,,L5_IT,4320.726366018023,-3326.056878654924,4312.942321227038,-3330.9878179982384
2120,105,51808600815793388536818853921356527631,0.00023820867079561695,,L5_IT,4320.726366018023,-3326.056878654924,4355.584765715638,-3320.46911059567
2351,105,34569022309266435079977652190840907586,0.00023820867079561695,,L5_IT,4320.726366018023,-3326.056878654924,4333.492418424915,-3318.1119847685673
